dataset_group,experiment,run,root,root_id,method,candidate_count,root_rank,top2_hit,top5_hit,acc,top_services,root_score,run_dir
sockshop_4svc,e1,single,payment,2,random_expected,3,expected,0.6666666666666666,1.0,0.75,random permutation,,D:\project\homework\sockshop\data\sockshop\e1
sockshop_4svc,e1,single,payment,2,dycause,3,2,1.0,1.0,0.75,,,D:\project\homework\sockshop\data\sockshop\e1
sockshop_4svc,e1,single,payment,2,pearson_entry_abs,3,3,0.0,1.0,0.5,user > catalogue > payment,0.04835889398389429,D:\project\homework\sockshop\data\sockshop\e1
sockshop_4svc,e1,single,payment,2,anomaly_z_mean_shift,3,2,1.0,1.0,0.75,user > payment > catalogue,0.0464812311313858,D:\project\homework\sockshop\data\sockshop\e1
sockshop_4svc,e2,single,user,3,random_expected,3,expected,0.6666666666666666,1.0,0.75,random permutation,,D:\project\homework\sockshop\data\sockshop\e2
sockshop_4svc,e2,single,user,3,dycause,3,2,1.0,1.0,0.75,,,D:\project\homework\sockshop\data\sockshop\e2
sockshop_4svc,e2,single,user,3,pearson_entry_abs,3,1,1.0,1.0,1.0,user > catalogue > payment,0.2674631135433763,D:\project\homework\sockshop\data\sockshop\e2
sockshop_4svc,e2,single,user,3,anomaly_z_mean_shift,3,3,0.0,1.0,0.5,catalogue > payment > user,0.046084055541293134,D:\project\homework\sockshop\data\sockshop\e2
sockshop_mesh_business,mesh_e1,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e1\run01
sockshop_mesh_business,mesh_e1,run01,payment,5,dycause,6,2,1.0,1.0,0.8571,,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e1\run01
sockshop_mesh_business,mesh_e1,run01,payment,5,pearson_entry_abs,6,3,0.0,1.0,0.7143,user > catalogue > payment > orders > carts > shipping,0.5186544085255668,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e1\run01
sockshop_mesh_business,mesh_e1,run01,payment,5,anomaly_z_mean_shift,6,5,0.0,1.0,0.4286,catalogue > orders > carts > user > payment > shipping,0.16000950774539033,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e1\run01
sockshop_mesh_business,mesh_e2,run01,user,7,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e2\run01
sockshop_mesh_business,mesh_e2,run01,user,7,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e2\run01
sockshop_mesh_business,mesh_e2,run01,user,7,pearson_entry_abs,6,5,0.0,1.0,0.4286,orders > shipping > carts > catalogue > user > payment,0.3387018584688919,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e2\run01
sockshop_mesh_business,mesh_e2,run01,user,7,anomaly_z_mean_shift,6,4,0.0,1.0,0.5714,shipping > carts > orders > user > payment > catalogue,0.8087423822497191,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e2\run01
sockshop_mesh_business,mesh_e3,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e3\run01
sockshop_mesh_business,mesh_e3,run01,payment,5,dycause,6,2,1.0,1.0,0.8571,,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e3\run01
sockshop_mesh_business,mesh_e3,run01,payment,5,pearson_entry_abs,6,3,0.0,1.0,0.7143,user > carts > payment > shipping > catalogue > orders,0.34278396201952716,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e3\run01
sockshop_mesh_business,mesh_e3,run01,payment,5,anomaly_z_mean_shift,6,5,0.0,1.0,0.4286,shipping > carts > user > orders > payment > catalogue,0.14582751271617178,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e3\run01
sockshop_mesh_business,mesh_e4,run01,user,7,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e4\run01
sockshop_mesh_business,mesh_e4,run01,user,7,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e4\run01
sockshop_mesh_business,mesh_e4,run01,user,7,pearson_entry_abs,6,1,1.0,1.0,1.0,user > orders > payment > carts > shipping > catalogue,0.9956919924535688,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e4\run01
sockshop_mesh_business,mesh_e4,run01,user,7,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,user > payment > orders > carts > catalogue > shipping,4.854789844253409,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e4\run01
sockshop_mesh_business,mesh_e5,run01,catalogue,2,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e5\run01
sockshop_mesh_business,mesh_e5,run01,catalogue,2,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e5\run01
sockshop_mesh_business,mesh_e5,run01,catalogue,2,pearson_entry_abs,6,1,1.0,1.0,1.0,catalogue > carts > orders > shipping > payment > user,0.9952201535101346,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e5\run01
sockshop_mesh_business,mesh_e5,run01,catalogue,2,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,catalogue > carts > orders > payment > shipping > user,4.768767162747092,D:\project\homework\sockshop\data\sockshop_mesh_business\mesh_e5\run01
sockshop_mesh_extended,el_e1,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e1\run01
sockshop_mesh_extended,el_e1,run01,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e1\run01
sockshop_mesh_extended,el_e1,run01,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,user > payment > catalogue > carts > orders > shipping,0.5842599517571073,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e1\run01
sockshop_mesh_extended,el_e1,run01,payment,5,anomaly_z_mean_shift,6,5,0.0,1.0,0.4286,carts > orders > catalogue > user > payment > shipping,0.4104447083492786,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e1\run01
sockshop_mesh_extended,el_e10,run01,orders,4,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e10\run01
sockshop_mesh_extended,el_e10,run01,orders,4,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e10\run01
sockshop_mesh_extended,el_e10,run01,orders,4,pearson_entry_abs,6,3,0.0,1.0,0.7143,payment > catalogue > orders > carts > user > shipping,0.3907697891777074,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e10\run01
sockshop_mesh_extended,el_e10,run01,orders,4,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,orders > catalogue > user > carts > shipping > payment,1.9217905836871498,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e10\run01
sockshop_mesh_extended,el_e11,run01,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e11\run01
sockshop_mesh_extended,el_e11,run01,carts,3,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e11\run01
sockshop_mesh_extended,el_e11,run01,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,catalogue > user > payment > shipping > orders > carts,0.38112772085894037,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e11\run01
sockshop_mesh_extended,el_e11,run01,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > catalogue > user > payment > orders > shipping,4.314914408274659,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e11\run01
sockshop_mesh_extended,el_e12,run01,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e12\run01
sockshop_mesh_extended,el_e12,run01,carts,3,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e12\run01
sockshop_mesh_extended,el_e12,run01,carts,3,pearson_entry_abs,6,5,0.0,1.0,0.4286,orders > catalogue > user > payment > carts > shipping,0.16370006047929078,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e12\run01
sockshop_mesh_extended,el_e12,run01,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > payment > catalogue > shipping > user > orders,2.341974408747369,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e12\run01
sockshop_mesh_extended,el_e13,run01,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run01
sockshop_mesh_extended,el_e13,run01,carts,3,dycause,6,5,0.0,1.0,0.4286,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run01
sockshop_mesh_extended,el_e13,run01,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,catalogue > user > orders > payment > shipping > carts,0.19789088613754605,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run01
sockshop_mesh_extended,el_e13,run01,carts,3,anomaly_z_mean_shift,6,6,0.0,0.0,0.2857,orders > user > shipping > payment > catalogue > carts,0.15296827425408724,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run01
sockshop_mesh_extended,el_e13,run02,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run02
sockshop_mesh_extended,el_e13,run02,carts,3,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run02
sockshop_mesh_extended,el_e13,run02,carts,3,pearson_entry_abs,6,5,0.0,1.0,0.4286,orders > shipping > catalogue > user > carts > payment,0.22892813230220696,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run02
sockshop_mesh_extended,el_e13,run02,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > user > shipping > catalogue > orders > payment,1.0331149965930173,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run02
sockshop_mesh_extended,el_e13,run03,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run03
sockshop_mesh_extended,el_e13,run03,carts,3,dycause,6,1,1.0,1.0,1.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run03
sockshop_mesh_extended,el_e13,run03,carts,3,pearson_entry_abs,6,4,0.0,1.0,0.5714,orders > user > catalogue > carts > shipping > payment,0.280348063384101,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run03
sockshop_mesh_extended,el_e13,run03,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > payment > shipping > catalogue > user > orders,1.016299792195634,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run03
sockshop_mesh_extended,el_e13,run04,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run04
sockshop_mesh_extended,el_e13,run04,carts,3,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run04
sockshop_mesh_extended,el_e13,run04,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,catalogue > user > payment > shipping > orders > carts,0.31644990744844176,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run04
sockshop_mesh_extended,el_e13,run04,carts,3,anomaly_z_mean_shift,6,6,0.0,0.0,0.2857,payment > user > shipping > orders > catalogue > carts,0.03791488632997264,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run04
sockshop_mesh_extended,el_e13,run05,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run05
sockshop_mesh_extended,el_e13,run05,carts,3,dycause,6,6,0.0,0.0,0.2857,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run05
sockshop_mesh_extended,el_e13,run05,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,orders > shipping > user > catalogue > payment > carts,0.22397011586788104,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run05
sockshop_mesh_extended,el_e13,run05,carts,3,anomaly_z_mean_shift,6,5,0.0,1.0,0.4286,payment > catalogue > user > shipping > carts > orders,0.08626694062263342,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run05
sockshop_mesh_extended,el_e13,run06,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run06
sockshop_mesh_extended,el_e13,run06,carts,3,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run06
sockshop_mesh_extended,el_e13,run06,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,catalogue > orders > payment > user > shipping > carts,0.7237355568216498,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run06
sockshop_mesh_extended,el_e13,run06,carts,3,anomaly_z_mean_shift,6,3,0.0,1.0,0.7143,payment > catalogue > carts > orders > user > shipping,0.979347736805379,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run06
sockshop_mesh_extended,el_e13,run07,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run07
sockshop_mesh_extended,el_e13,run07,carts,3,dycause,6,2,1.0,1.0,0.8571,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run07
sockshop_mesh_extended,el_e13,run07,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,user > orders > payment > catalogue > shipping > carts,0.3975947458641905,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run07
sockshop_mesh_extended,el_e13,run07,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > shipping > user > catalogue > payment > orders,0.9796222353101395,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run07
sockshop_mesh_extended,el_e13,run08,carts,3,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e13\run08
