experiment,root,fault_type,runs,v0_runs,v1_runs,top1,top2,top5,pr1_rate,pr2_rate,pr5_rate,acc_mean,acc_std,rank_mean,rank_min,rank_max
mesh_e1,payment,pod-kill,10,6,4,4.0,5.0,5.0,0.4,0.5,0.5,0.5142800000000001,0.4911896800399799,2.0,1.0,6.0
mesh_e3,payment,network-delay,10,6,4,2.0,4.0,6.0,0.2,0.4,0.6,0.48571,0.42696800673794955,3.142857142857143,1.0,7.0
mesh_e2,user,pod-kill,5,3,2,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.5477225575051662,1.0,1.0,1.0
el_e2,payment,network-corrupt,10,0,10,2.0,3.0,5.0,0.2,0.3,0.5,0.39999,0.4456825388597184,2.4,1.0,4.0
el_e5,orders,pod-kill,10,0,10,1.0,2.0,6.0,0.1,0.2,0.6,0.45714,0.3737378766521322,3.4285714285714284,1.0,6.0
el_e13,carts,network-loss,10,0,10,1.0,2.0,3.0,0.1,0.2,0.3,0.25714,0.3856787759550975,3.5,1.0,6.0
mesh_e5,catalogue,network-delay,7,5,2,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3194223111448899,4.5,2.0,7.0
el_e4,payment,cpu-stress,10,0,10,0.0,0.0,3.0,0.0,0.0,0.3,0.24286000000000002,0.2780639263031275,5.166666666666667,3.0,7.0
el_e16,carts,cpu-stress,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,6.0,6.0,6.0
el_e6,orders,network-delay,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,7.0,7.0,7.0
mesh_e4,user,network-delay,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e1,payment,network-loss,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e10,orders,cpu-stress,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e11,carts,pod-kill,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e12,carts,network-delay,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e14,carts,network-corrupt,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e15,carts,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e3,payment,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e7,orders,network-loss,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e8,orders,network-corrupt,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
el_e9,orders,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
