experiment,root,fault_type,load_profile,runs,top1,top2,top5,pr1_rate,pr2_rate,pr5_rate,acc_mean,acc_std,rank_mean,rank_median,rank_min,rank_max,min_quality
mesh_e1,payment,pod-kill,legacy-compressed-v0,6,4.0,5.0,5.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8095166666666667,0.4006786763313799,1.2,1.0,1.0,2.0,1.0
mesh_e3,payment,network-delay,legacy-compressed-v0,6,2.0,3.0,4.0,0.3333333333333333,0.5,0.6666666666666666,0.5476166666666666,0.4730780672010346,2.25,1.5,1.0,5.0,1.0
mesh_e2,user,pod-kill,legacy-compressed-v1,2,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.985
mesh_e2,user,pod-kill,legacy-compressed-v0,3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5773502691896258,1.0,1.0,1.0,1.0,1.0
el_e2,payment,network-corrupt,legacy-compressed-v1,10,2.0,3.0,5.0,0.2,0.3,0.5,0.39999,0.4456825388597184,2.4,2.0,1.0,4.0,1.0
mesh_e3,payment,network-delay,legacy-compressed-v1,4,0.0,1.0,2.0,0.0,0.25,0.5,0.39285000000000003,0.3933676355099218,4.333333333333333,4.0,2.0,7.0,1.0
el_e5,orders,pod-kill,legacy-compressed-v1,10,1.0,2.0,6.0,0.1,0.2,0.6,0.45714,0.3737378766521322,3.4285714285714284,3.0,1.0,6.0,0.995
el_e13,carts,network-loss,legacy-compressed-v1,10,1.0,2.0,3.0,0.1,0.2,0.3,0.25714,0.3856787759550975,3.5,3.5,1.0,6.0,1.0
mesh_e5,catalogue,network-delay,legacy-compressed-v0,5,0.0,1.0,1.0,0.0,0.2,0.2,0.17142,0.38330677270301394,2.0,2.0,2.0,2.0,1.0
el_e4,payment,cpu-stress,legacy-compressed-v1,10,0.0,0.0,3.0,0.0,0.0,0.3,0.24286000000000002,0.2780639263031275,5.166666666666667,5.0,3.0,7.0,1.0
el_e16,carts,cpu-stress,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,6.0,6.0,6.0,6.0,1.0
el_e6,orders,network-delay,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,7.0,7.0,7.0,7.0,1.0
mesh_e5,catalogue,network-delay,legacy-compressed-v1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.07145,0.10104555903155764,7.0,7.0,7.0,7.0,1.0
mesh_e1,payment,pod-kill,legacy-compressed-v1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.071425,0.14285,6.0,6.0,6.0,6.0,0.975
mesh_e4,user,network-delay,legacy-compressed-v0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e1,payment,network-loss,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e10,orders,cpu-stress,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e11,carts,pod-kill,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.99
el_e12,carts,network-delay,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e14,carts,network-corrupt,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e15,carts,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e3,payment,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e7,orders,network-loss,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e8,orders,network-corrupt,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e9,orders,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
