experiment,run,valid,min_valid_ratio,missing_points_total,zero_points_total,expected_points,service_count,raw_exists,raw_shape,load_profile,rate_window,root_service,fault_type
el_e1,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e10,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e11,run01,True,0.99,6,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e12,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
el_e13,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run08,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e13,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e14,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e15,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-duplicate
el_e16,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e2,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run08,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e2,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e3,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-duplicate
el_e4,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run08,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e4,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,cpu-stress
el_e5,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run03,True,0.995,3,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run06,True,0.995,3,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run08,True,0.995,3,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e5,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
el_e6,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
el_e7,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-loss
el_e8,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-corrupt
el_e9,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-duplicate
mesh_e1,run01,True,1.0,0,0,1200,7,True,1200x7,legacy-compressed-v0,15s,,
mesh_e1,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e1,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e1,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e1,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e1,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e1,run07,True,0.975,15,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e1,run08,True,0.9916666666666667,5,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e1,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e1,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e2,run01,True,1.0,0,0,1200,7,True,1200x7,legacy-compressed-v0,15s,,
mesh_e2,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e2,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e2,run04,True,0.985,9,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e2,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,pod-kill
mesh_e3,run01,True,1.0,0,0,1200,7,True,1200x7,legacy-compressed-v0,15s,,
mesh_e3,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e3,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e3,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e3,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e3,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e3,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
mesh_e3,run08,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
mesh_e3,run09,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
mesh_e3,run10,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
mesh_e4,run01,True,1.0,0,0,1200,7,True,1200x7,legacy-compressed-v0,15s,,
mesh_e4,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e4,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run01,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run02,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run03,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run04,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run05,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v0,15s,,
mesh_e5,run06,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
mesh_e5,run07,True,1.0,0,0,600,7,True,600x7,legacy-compressed-v1,15s,,network-delay
