method,graph_source,cases,top1,top2,top5,mrr,acc
normalized_path_plus_pearson,scoring_ablation,87,0.1724137931034483,0.367816091954023,0.7816091954022989,0.4149425287356322,0.638752052545156
original_dycause,original_dycause,87,0.13793103448275862,0.22988505747126436,0.42528735632183906,0.24329501915708815,0.34318555008210183
path_only,scoring_ablation,87,0.1839080459770115,0.3218390804597701,0.8850574712643678,0.41551724137931034,0.6535303776683086
path_plus_pearson,scoring_ablation,87,0.20689655172413793,0.367816091954023,0.7586206896551724,0.4239463601532567,0.625615763546798
pearson_only,scoring_ablation,87,0.20689655172413793,0.3793103448275862,0.7586206896551724,0.4268199233716475,0.6288998357963874
pearson_plus_lambda_path_0,scoring_ablation,87,0.20689655172413793,0.3793103448275862,0.7586206896551724,0.4268199233716475,0.6288998357963874
pearson_plus_lambda_path_0.1,scoring_ablation,87,0.20689655172413793,0.367816091954023,0.7586206896551724,0.424904214559387,0.6272577996715928
pearson_plus_lambda_path_0.5,scoring_ablation,87,0.20689655172413793,0.367816091954023,0.7586206896551724,0.4239463601532567,0.625615763546798
pearson_plus_lambda_path_1,scoring_ablation,87,0.20689655172413793,0.367816091954023,0.7586206896551724,0.4239463601532567,0.625615763546798
pearson_plus_lambda_path_10,scoring_ablation,87,0.20689655172413793,0.3793103448275862,0.7586206896551724,0.4306513409961686,0.6354679802955665
pearson_plus_lambda_path_100,scoring_ablation,87,0.16091954022988506,0.3448275862068966,0.7816091954022989,0.40191570881226046,0.6272577996715927
pearson_plus_lambda_path_2,scoring_ablation,87,0.20689655172413793,0.3793103448275862,0.7701149425287356,0.42969348659003825,0.6354679802955664
pearson_plus_lambda_path_5,scoring_ablation,87,0.20689655172413793,0.367816091954023,0.7586206896551724,0.4262452107279693,0.6288998357963874
pearson_plus_lambda_path_50,scoring_ablation,87,0.1724137931034483,0.3563218390804598,0.7586206896551724,0.4101532567049808,0.6288998357963874
