method,graph_source,cases,top1,top2,top5,mrr,acc
normalized_path_plus_pearson,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
original_dycause,original_dycause,1,0.0,1.0,1.0,0.5,0.9375
path_only,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
path_plus_pearson,scoring_ablation,1,0.0,0.0,1.0,0.25,0.8125
pearson_only,scoring_ablation,1,0.0,0.0,0.0,0.07692307692307693,0.25
pearson_plus_lambda_path_0,scoring_ablation,1,0.0,0.0,0.0,0.07692307692307693,0.25
pearson_plus_lambda_path_0.1,scoring_ablation,1,0.0,0.0,0.0,0.09090909090909091,0.375
pearson_plus_lambda_path_0.5,scoring_ablation,1,0.0,0.0,0.0,0.14285714285714285,0.625
pearson_plus_lambda_path_1,scoring_ablation,1,0.0,0.0,1.0,0.25,0.8125
pearson_plus_lambda_path_10,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
pearson_plus_lambda_path_100,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
pearson_plus_lambda_path_2,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
pearson_plus_lambda_path_5,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
pearson_plus_lambda_path_50,scoring_ablation,1,1.0,1.0,1.0,1.0,1.0
